positive_threshold,negative_threshold,val_macro_f1,val_iletim_f1,val_iletim_precision,val_iletim_recall,val_iletim_fn,val_iletim_fp,val_iletim_total_error
0.92,0.23,0.9275450596039314,0.8720626631853786,0.8564102564102564,0.8882978723404256,21,28,49
0.92,0.24,0.9275450596039314,0.8720626631853786,0.8564102564102564,0.8882978723404256,21,28,49
0.92,0.25,0.9275450596039314,0.8720626631853786,0.8564102564102564,0.8882978723404256,21,28,49
0.92,0.26,0.9275450596039314,0.8720626631853786,0.8564102564102564,0.8882978723404256,21,28,49
0.92,0.27,0.9275450596039314,0.8720626631853786,0.8564102564102564,0.8882978723404256,21,28,49
0.92,0.28,0.9275450596039314,0.8720626631853786,0.8564102564102564,0.8882978723404256,21,28,49
0.92,0.29,0.9275450596039314,0.8720626631853786,0.8564102564102564,0.8882978723404256,21,28,49
0.92,0.3,0.9275450596039314,0.8720626631853786,0.8564102564102564,0.8882978723404256,21,28,49
0.92,0.31,0.9275450596039314,0.8720626631853786,0.8564102564102564,0.8882978723404256,21,28,49
0.92,0.32,0.9275450596039314,0.8720626631853786,0.8564102564102564,0.8882978723404256,21,28,49
